registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
cp.icr.io,cp/cp4waiops/elastic-archiving-service,v3.3.2-20220511.0601-9bd9d5a6d,sha256:9bd9d5a6d7511dfd7c5400aba36498b7b8b332a8061798f623d030bce6e79f8f,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/archiving-service,v3.3.2-20220511.0601-000e4605e,sha256:000e4605ebf12b7347de7aa05480cc790bf705bfd69def0ee42487202a037dae,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/datalayer-cem-service,v3.3.2-20220511.0601-15420be35,sha256:15420be355564bd28a211a96541c8e4b57a3eb9435c1f8972bfe9abb477b7c81,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/hdm-cem-users,v3.3.2-20220511.0601-77fa565ce,sha256:77fa565ce6be66d12c628483240c56d9d4e317c5268f7c6eaeefa6ca93816677,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/hdm-icp-rba-as,v3.3.2-20220511.0601-4150e83eb,sha256:4150e83eb6363725822a1e433fec94a6d31f9f060266ece6e3c2287e3649161f,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/hdm-icp-rba-rbs,v3.3.2-20220511.0601-a075cc69f,sha256:a075cc69f0a2282fc4c436c2a7afef569224301b5d471ebf438c9619194ca614,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/http-wait-initcontainer,v3.3.2-20220511.0601-57face60c,sha256:57face60c2db0540bce81ec96febb34f64905d489a44191e0760175d39f04210,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/logstash,v3.3.2-20220511.0601-ad5386695,sha256:ad5386695957e2c00e67d2c507e45155172e96a491580b7a005d5abadae1ca8c,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/netcool-nco-g-objserv-bi-ee,v3.3.2-20220511.0601-dc65787c1,sha256:dc65787c10e0b7579e72f3663aaba43366caa82d0eb5eb0024ed46736d1c8d34,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/netcool-nco-objserv-ee,v3.3.2-20220511.0601-0bdad0cd2,sha256:0bdad0cd2f10b3da47c94545b40c0a7a40e6c6f1fadba0afde6c18504c393792,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-aiops-ir-core-operator-bundle,v3.3.2-20220511.0601-b3846a7c2,sha256:b3846a7c2cb37e802684c33dafa656227e8e245f9d157a56b4b0ebadecc696f0,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-aiops-ir-core-operator-catalog,v3.3.2-20220511.0601-bd9a1cff9,sha256:bd9a1cff9c8321302e65a44e279856424d60cb9e8e8b08fd5017b8aefe1a79f2,LIST,"","","",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-aiops-ir-core-operator,v3.3.2-20220511.0601-593028fd0,sha256:593028fd097af7b92a2f092d058810915349b75d27e3aff038c4359107b50434,IMAGE,linux,amd64,"",0,CASE,"",""
