registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
cp.icr.io,cp/cp4waiops/cassandra,v3.3.2-20220511.0601-93d85ae7e,sha256:93d85ae7e3a65c3a4b48ce50aae9119a1310b6ae503a53ff12e83835294a96b4,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-alm-observer,v3.3.2-20220511.0601-0af648abb,sha256:0af648abba30d62b0ade12a585091a234ca7e7b8a91800482975b40d40dc2699,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-ansibleawx-observer,v3.3.2-20220511.0601-5c91edf0c,sha256:5c91edf0c09c5b564f8f272ff8fba919b8671b7a4e67c241ab3376992df5234b,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-appdynamics-observer,v3.3.2-20220511.0601-831dd69f9,sha256:831dd69f959541f3764a4ea0e2c153c5c7c2d9afab45dafcbcfb8e6fb274d014,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-aws-observer,v3.3.2-20220511.0601-9fbd6a659,sha256:9fbd6a659c2a95f3111faac1221d401ce6138e910b67c44fe9f0d5acd17bfb6c,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-azure-observer,v3.3.2-20220511.0601-69c78983e,sha256:69c78983ec53121dd2adfcfe63cc9ea8df3b52996d490d537f75d9ec70972dd5,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-bigfixinventory-observer,v3.3.2-20220511.0601-0d00df1c9,sha256:0d00df1c9483c91bf8e26c9620df65c28f84a97dfe93d4ac82b52c92b52d5328,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-cienablueplanet-observer,v3.3.2-20220511.0601-a246d70ed,sha256:a246d70ed391d872ece9736c7a54402d8d69a044756df64f0d2164ca04d4496e,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-ciscoaci-observer,v3.3.2-20220511.0601-7756cda22,sha256:7756cda2212d09a276afc36cb7c74e063909d3faceb01727488067a7d9b887cb,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-contrail-observer,v3.3.2-20220511.0601-942162436,sha256:94216243664d8d4edca9c0c7bc5166fa6809aaf422dccaa3169c6975267ab313,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-dns-observer,v3.3.2-20220511.0601-c8521827a,sha256:c8521827aad19ef9fc97f0d62dec01af3aeed575bab2f977a6eb2b9657639c28,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-docker-observer,v3.3.2-20220511.0601-52136957b,sha256:52136957bdd39a261e386f67bd30f5438dd05dac861f656d5278984b8a88f2f8,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-dynatrace-observer,v3.3.2-20220511.0601-ce4735cf4,sha256:ce4735cf4ea6f916f2267ad1d319b0f0e56d1501225d648e1520e03271a142c6,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-file-observer,v3.3.2-20220511.0601-754b1fa76,sha256:754b1fa762de0a40f1d62edd6795ce032cda5ae7ddf47cecb5fb607150dee218,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-googlecloud-observer,v3.3.2-20220511.0601-7d85ab956,sha256:7d85ab9567b8584b7c799e6af694032798f5b329b82d13a4993a81286ca950bb,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-ibmcloud-observer,v3.3.2-20220511.0601-88f65fafd,sha256:88f65fafd469fdd32fd88574d627b992be300b06f893730f5b03cb7c970bb167,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-itnm-observer,v3.3.2-20220511.0601-02535d94a,sha256:02535d94ab7db16cfacd4f90da303d284f376d2142411cc136f086c9c607ff4d,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-jenkins-observer,v3.3.2-20220511.0601-049fcf5b9,sha256:049fcf5b975feab0319273fbe7aa122279e06878b27a8b66339016b144ed80a5,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-junipercso-observer,v3.3.2-20220511.0601-424cd0976,sha256:424cd0976de559506a3a917ae920378b4f6ed86da1dbbb269560f23b2f1a756c,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-kubernetes-observer,v3.3.2-20220511.0601-26756881e,sha256:26756881e682c2ab271581c53a02626451e8cafe3c70dcab6d8b30783509c62a,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-layout-service,v3.3.2-20220511.0601-fe88427c8,sha256:fe88427c82a3012923e3148448576e2d1823a3ed376bd699921de55d345735fd,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-merge-service,v3.3.2-20220511.0601-539525091,sha256:5395250914a6dde81d156e5bd4c7d47734569a3a194c0130bc4641e062c3c65d,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-newrelic-observer,v3.3.2-20220511.0601-89efab486,sha256:89efab4865ad864f7f9147fac64490dd430a2b5924e92dfb8df24affff9467e7,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-observer-service,v3.3.2-20220511.0601-8cd0675c0,sha256:8cd0675c08b49b4dbe53fd8bcd5e64187a14e28dd09b74520b8bcdc470023dfd,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-openstack-observer,v3.3.2-20220511.0601-d5fbf8244,sha256:d5fbf824473993f31b3b1ab120cc5f8e878087a35b3b55b95087c1ecdbfe1979,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-rancher-observer,v3.3.2-20220511.0601-09a007847,sha256:09a00784713df97f3027b596f185acacfc77e65b11510bad57db6b078a127351,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-rest-observer,v3.3.2-20220511.0601-60397ca0f,sha256:60397ca0fffa95e83b89b07665a4839bdb4d3e0bdf98151f480c439a355f20d9,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-search-service,v3.3.2-20220511.0601-cbbe75720,sha256:cbbe757205932288e27805eab0c57650cb30249a7cf29f979c5c9a0d25f92a85,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-servicenow-observer,v3.3.2-20220511.0601-fb89a782b,sha256:fb89a782b2d0be71e2d83ed2b49a0c2b05089299a29ec0351b35b1fd9df18c62,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-status-service,v3.3.2-20220511.0601-5e6b4d0f5,sha256:5e6b4d0f51fe7f4fee733ea75fa17e3865494646a6039b868c11852156a528dd,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-taddm-observer,v3.3.2-20220511.0601-06ab627b4,sha256:06ab627b40f4ed1ad6fe59560adf2a54a9eb8aba2f14a7851dd078e355078c3b,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-topology-service,v3.3.2-20220511.0601-d1c1f2363,sha256:d1c1f23634dc409b956baa6f36a64d0aa1d177ee1a151896832d06ce20730ef8,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/nasm-ubi-base-layer,v3.3.2-20220511.0601-578ea1291,sha256:578ea1291f7afb3ac3f64d52e97dddb87af041aa0f35caa5ab86c07837171dea,LIST,"","","",0,CASE,"",""
