registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-automation-foundation-core-catalog,1.3.7,sha256:5502c003afe7a0590ce123c3bbbd76e46374af641b3a210e3c25cfe2381e4647,LIST,"","","",0,CASE,olm-catalog,""
docker.io,ibmcom/iaf-core-operator-bundle,1.0.0,sha256:9c05f7b22b63216a06760ccb291b040a0e57e3dee294cfb6070648fbd126c988,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
docker.io,ibmcom/iaf-core-operator-bundle,1.0.1,sha256:4a64a2f0b065566582618f5a66714e7c7c0ed4ce9798929f8350d8dadcb47f12,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
docker.io,ibmcom/iaf-core-operator-bundle,1.0.2,sha256:521c29fc19dbd3a09f3d106dfda9fb9dd47b122b008d85fd496f2420c998a8f3,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.1.0,sha256:24bd2fa4fcb579c20d5a7f92db889cb3710f2f708cb09c4077e7b370e03c1174,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.2.0,sha256:fb4f281361ef57db2a0b8856fc34f907350fdaef01833767222a1bb2faca3dfb,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.2.1,sha256:7ce07aebcc023b84d1d24900dbb01f2a9680162b2c1c45d031c5d92fcef9deb3,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.3.0,sha256:cb07e180a72f2db3af156c0738a828554882f883ab2480a37dd14f40a981f035,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.3.1,sha256:88199cb67cbee11660adabcff68a7da38687eeeba451117f3487302cae03e09e,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.3.2,sha256:a91392c5aa856aef81f1dfa8906af28d9e65dbd1508a6f92edee0c6ca6c4876d,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.3.3,sha256:386d6ee4b7b24edea8249460fa39ce1b61e0a778bcd658f1371ccf20caf95d9b,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.3.4,sha256:1bced36864c9d570cb101c0eb635278df75c25e58b14455ff05ca8d86dc74dbf,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.3.5,sha256:0665a41c56692b74563e77525e367657fb4ad12b174aed118b7530c671c56088,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.3.6,sha256:cd4c0d5145ece91599933dec3f147d300c7a1b86d8b6e20b12e46ae889c9b1ad,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-core-operator-bundle,1.3.7,sha256:2020de9bb5cdcfb985722799d68c8c770173143c4ddcb0887129f31e6a9a97d8,LIST,"","","",0,CASE,olm-bundle,""
