registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.0.0,sha256:fdd0bf19716a979f674c729002bafa731baecf19fbb82c237743859dced2c8d1,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.3.1,sha256:91c649590e58520c2f68e9b804c093b8a3d7b143a9658abfe36ffa6337851433,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.3.2,sha256:cdb5242c20f71fb3aad6b1a5f73727333693b7640f6832f3a68bc07bf8a61d92,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.3.3,sha256:95d0c41f98cedbf137cc9410cb30d5f089704e176f21d13905cdfbefe4f9070a,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.3.4,sha256:6f777c7c7ebcbdd512a52e9290f2324a35438a3fe40fe4a65f5ec9908bf0af14,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.3.5,sha256:383259dc6d7b816e745d4317e8be1b187c10ec3c5caf8c75644917e5c021e39f,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator-bundle,1.3.6,sha256:67dc6df1e541459b4d998c02d62eb9c99f20f16e9f89484bd1cca889cdf8a4c3,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-insights-engine-operator,1.0.0-amd64,sha256:b0a970c64803f6d4dbb9c00739eb3b6360fbf65191bf218895c605edae77086f,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-insights-engine-operator,1.0.0-s390x,sha256:f8f8f6cf8fb5116fb28e37ba966b07614ecf448796392a7945fd16779d011809,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/iaf-insights-engine-operator,1.0.0-ppc64le,sha256:8ba314c6649c6be5f7c939b9d210a6f16e548efcb7fe7c7a226e5377f4ad25c1,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/iaf-insights-engine-operator,1.3.1-amd64,sha256:f668b862a71060b510b8dc7727061c76cdf6bb7647ce42d554132b1c052fb4a5,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-insights-engine-operator,1.3.1-s390x,sha256:8d97f47f462d2f649d4cefef827d8a4da5bb558d420c285a33b5641e673ae26b,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/iaf-insights-engine-operator,1.3.1-ppc64le,sha256:a84485f3764638bd88be928feff505c485f1a0275965572d32d61a19548e8f05,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/iaf-insights-engine-operator,1.3.2-amd64,sha256:df1932d4bcf05a280b181a1a916a8d67b237bb9e944c237213eb1507e1412430,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-insights-engine-operator,1.3.2-s390x,sha256:cc9ffe2f0f676795f36981624f2c978071f00c48317a2c69ce1c3d160a6eaf29,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/iaf-insights-engine-operator,1.3.2-ppc64le,sha256:53cfe074fdb78764f4218ed91f403ba6250bbb7053d4a666241e5aaf76ca55a1,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/iaf-insights-engine-operator,1.3.3-amd64,sha256:792715be4bdd409fad55c5f88c9135d9b3ec629cef5b7c61b5a98d404ac62cc2,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-insights-engine-operator,1.3.3-s390x,sha256:32ea8a0a597bde4a80c6b16c784ad5102596caaa74c05136081e37efaa525f86,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/iaf-insights-engine-operator,1.3.3-ppc64le,sha256:acef3f87bcf04c0b89783bc16472dcca5cc87923b8613045148c5e4b472566fc,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/iaf-insights-engine-operator,1.3.4-amd64,sha256:319b1c6ca7c390446fd3c0be4ca12c3813d3817ea2480089e4116bcad1843c37,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-insights-engine-operator,1.3.4-s390x,sha256:f9813cbe79130e3712835665f5dc4eec060616a44fceb07b8049eafb8f3f0fb5,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/iaf-insights-engine-operator,1.3.4-ppc64le,sha256:d59af988bee82ab11251ccfca5648972a9b5d73e86edfc2e2c9bbd9fa1599436,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/iaf-insights-engine-operator,1.3.5-amd64,sha256:e13b08ad7fcaef8328970aab7fd6328ab293b130ac972d72bb764543633d4817,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-insights-engine-operator,1.3.5-s390x,sha256:a1121e94cb7460be99ed1cf8a3b051c7edc513a24b615aee9da931ab5fc8ed6a,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/iaf-insights-engine-operator,1.3.5-ppc64le,sha256:62d96dc8abdefacd333319cbd1cd70508f4fdd4fa09aed3d6213cf70476ebb6f,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/iaf-insights-engine-operator,1.3.6-amd64,sha256:18f2d68ed975fb05183318d1ac04d7d8738e9d50562ae1e63044dcfc98f28c86,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-insights-engine-operator,1.3.6-s390x,sha256:a1b3ffca730f80b132756e9f4092b4a5b655d828d6c25b24be4d12ae30a59eb3,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/iaf-insights-engine-operator,1.3.6-ppc64le,sha256:4069efcf7c5e821e4c8cb2aaa378f26826f147846763dd582955764570321245,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/iaf-insights-engine-management,1.0.0-amd64,sha256:165fa1b43f28a667da2090c7ad5762f743333733116f90a1238dba6b4bad95d0,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/iaf-insights-engine-management,1.0.0-s390x,sha256:308c15a4d5db7e8271570a84d22c277da4af1941fe6e0129af24e79697b70e0b,IMAGE,linux,s390x,"",0,CASE,"",""
cp.icr.io,cp/iaf-insights-engine-management,1.0.0-ppc64le,sha256:1d7b6b2f31e10de4e44ae547a42833447bb0453c6560809caedd075ec5e3360a,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/iaf-insights-engine-management,1.0.1-amd64,sha256:4b88f286cf82a1a64ffbffc6cc05d6cf5621198015595bdafbaa167892321496,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/iaf-insights-engine-management,1.0.1-s390x,sha256:024f1484e687651a3476aa240402e9495bd2ba2a09dc42caaa5d93ae881adefc,IMAGE,linux,s390x,"",0,CASE,"",""
cp.icr.io,cp/iaf-insights-engine-management,1.0.1-ppc64le,sha256:86d4b957669db778ba4a6bcf43084b4db535fdde2122ff419b3d9f4eecd68eae,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/iaf-insights-engine-management,1.0.2-amd64,sha256:2449333624adcd57db1b7c3fabb8768e2e4a9a53154ce41faa02a029b0d07186,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/iaf-insights-engine-management,1.0.2-s390x,sha256:adcccfecb17d9dde0bcc6c811c9c2cc76262b3e2505638b2119b3511f7f39724,IMAGE,linux,s390x,"",0,CASE,"",""
cp.icr.io,cp/iaf-insights-engine-management,1.0.2-ppc64le,sha256:5b11acd7f76ef625298988170a92b83fcbd90c597ee1b1e3c3d6c4ccae72b562,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/iaf-insights-engine-management,1.0.3-amd64,sha256:3d4341de8e4afb8a317a3db124f86bd8b7e6bb2ce5b3862227529321771eae93,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/iaf-insights-engine-management,1.0.3-s390x,sha256:aa892d46be1853fe84a6678ff15153c362e6d412fba446d4e45ae91bba816612,IMAGE,linux,s390x,"",0,CASE,"",""
cp.icr.io,cp/iaf-insights-engine-management,1.0.3-ppc64le,sha256:878f68a260c41ece3b12b708cddbaa9f952ab0001bb88c41b34032f8c46c69a0,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/iaf-insights-engine-management,1.0.4-amd64,sha256:3ff50895ef00c545ad2e8a1878dfdbd9dd5bbd91e7df222310031d7989ba24af,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/iaf-insights-engine-management,1.0.4-s390x,sha256:903a5d42f09212a22bfdf39acc0223d597e1d5a5e8f327b899aeaca5d16464a2,IMAGE,linux,s390x,"",0,CASE,"",""
cp.icr.io,cp/iaf-insights-engine-management,1.0.4-ppc64le,sha256:34138340e5b0a5fb7546e117205c9b9f465cc1f29360c20143a5ddd73c5b54b2,IMAGE,linux,ppc64le,"",0,CASE,"",""
