registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
cp.icr.io,cp/ibm-cloud-databases-redis-operator,1.2.1-amd64,sha256:18a5f072bc1e7d5bc2eaa23faf62b884b424db850cadffe521874c6f5c5edad8,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/redis-db-5.0.9,1.2.1-amd64,sha256:b7669901721ba4c24178d33248a5bce7866aba3c6b1f1827e1a894eeb0c1a114,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/redis-mgmt-5.0.9,1.2.1-amd64,sha256:2cd5300637ad1d3731d01dc62c42f637bfe1219f136ec8017a35d722b91fe661,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/redis-proxy-5.0.9,1.2.1-amd64,sha256:4f305b5b5bb20169dec87f750851990ac5317df2f393dd8e2780fab8115e9a7e,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/redis-proxylog-5.0.9,1.2.1-amd64,sha256:f2cc73fa4d85f2dc25ee6e245fbbeb22a1e5a3fb15fd8128a562e75b10d8bcc6,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/redis-db-5.0.5,1.0.0,sha256:978cf09ee9ffcf4317a0a4d99f0332735f988ba04735b0169461f40a41d9e672,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/redis-mgmt-5.0.5,1.0.0,sha256:16827306b60e1e3d76cca8daee0f16c43119f714cd89c37ca3a9b37628747b45,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/redis-proxy-5.0.5,1.0.0,sha256:dd5234b95376f974fa9845a066b0fe8b80e64c7a6df9e2f7c6da21c9156a7d75,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/redis-proxylog-5.0.5,1.0.0,sha256:c9494a21a2e0bbdd5abc070eb418e159e0ac5c40ee9b64d82c50bd4442138a7e,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/redis-db-5.0.5,1.1.0,sha256:cca54715bb1cc7d03aeb45c7a0b9a94fbf52f4cf8f483bd5b9ab6ff97ef0d443,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-mgmt-5.0.5,1.1.0,sha256:9685553903409dd41b31489acd4443ce92151e80e19a9ff197b6df3bfb1d6b74,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-proxy-5.0.5,1.1.0,sha256:19c7f2538b415142a3e6d19c50221968519fcee6b927be98ddc49fd2bc02d2f7,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-proxylog-5.0.5,1.1.0,sha256:a9933cb5a8a729bedf17524d08da290124196e7109d810fa42d06022ef1e6ceb,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-db-5.0.5,1.2.0,sha256:4768db9e45ce5668b5e1719a028709254705915661d18453cab58ec53ace03d7,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-mgmt-5.0.5,1.2.0,sha256:2435da352ae1b63fc54fbcdef34439d97c7beaf74ce24c35ce4d6b89c1052d86,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-proxy-5.0.5,1.2.0,sha256:eb9f2a6eecf013041e3636f6f4eeaaafcb4e8f8a152c13abeabf785e22ed1eee,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-proxylog-5.0.5,1.2.0,sha256:ca59c5f779f74324a66fda4eb0012d9aab306ac6f693d481135a0a2aeca13e65,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-db-5.0.9,1.2.2,sha256:8e610252dc4fdb9b9ae6056ff37846701b2d49b654cf750d2f6f2f0246da02f2,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-mgmt-5.0.9,1.2.2,sha256:5eaaa3c41911d2b929e5fadbf791141f2287629fb4755b87caba23ef89d831a9,LIST,"","","",0,CASE,"",""
