registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
docker.io,ibmcom/couchdb-operator-mgmt,1.2.0-1581590439,sha256:a3b1ee66d00fad92354f5a035654093d0296b040051136a897e2c351cb18831a,IMAGE,linux,amd64,"",0,CASE,"",""
docker.io,ibmcom/couchdb-operator-mgmt,1.2.1-1583744488,sha256:b3221665682279b9771ce89196a0e16bab96b850a7be515947d84b33f85ddb38,IMAGE,linux,amd64,"",0,CASE,"",""
docker.io,ibmcom/couchdb-operator-mgmt,1.2.2-1584716936,sha256:858eaca05ccc8706abf1aa8eb492bbd9c323a566532a1c640de7ffcc98e47a28,IMAGE,linux,amd64,"",0,CASE,"",""
docker.io,ibmcom/couchdb-operator-mgmt,1.2.3-1586872973,sha256:f3a70095a4ed814241022d969d084598398b74dc86bfcb8223017e180cae2a0c,IMAGE,linux,amd64,"",0,CASE,"",""
docker.io,ibmcom/couchdb-operator-mgmt,1.2.4-1586954233,sha256:d722f7db818031ebabea17d33b0989f57fb8e99519cb6f4693bc523d1b84b59f,IMAGE,linux,amd64,"",0,CASE,"",""
docker.io,ibmcom/couchdb-operator-mgmt,1.2.4-1590581922,sha256:0a662553e71f9710a2e61e921afd6eab249a1d6f47f91a629ae549b52a047883,IMAGE,linux,amd64,"",0,CASE,"",""
docker.io,ibmcom/couchdb-operator-mgmt,1.2.5-1590690395,sha256:5e788e64e06b03138995215dd141acf016a804473fa42bf9bd18ee7f470f13aa,IMAGE,linux,amd64,"",0,CASE,"",""
docker.io,ibmcom/couchdb-operator-mgmt,1.2.6-1591264512,sha256:edfbc48c862cf31bbb4c7fe748d0a39fcdae08aa881425c6e844c6042e6fa896,IMAGE,linux,amd64,"",0,CASE,"",""
docker.io,ibmcom/couchdb-operator-mgmt,1.2.7-1591302842,sha256:4c5a3fcf21caf2d29f0e236112efb9d1702f2a159545a755760474d7223aab02,IMAGE,linux,amd64,"",0,CASE,"",""
docker.io,ibmcom/couchdb-operator-mgmt,1.5.1-1600184127,sha256:beef0b2a5f4fb9846ec13c910f8b614c0fa55112e1a88f3d6cf323e428680e18,IMAGE,linux,amd64,"",0,CASE,"",""
