registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-cp-automation-foundation-catalog,1.3.7,sha256:267bbc17bad1966be259bb9a6951c520c6fb824bfa42bbec22570ba49883d4ae,LIST,"","","",0,CASE,olm-catalog,""
docker.io,ibmcom/iaf-elastic-operator-bundle,1.0.0,sha256:0cdcb3c3e07540b6d25836a9f8ae142d08a28168ffc8df3a6126f098252cee3e,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
docker.io,ibmcom/iaf-elastic-operator-bundle,1.0.1,sha256:bf573c5712d13acb86f023ada4972fdd2f51773f5c4e38137902fb4e66438a2d,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.1.0,sha256:0858b00f007a9eafc8c2f945a5f9922949e29d023dfca2cf7a6ed38781da3efb,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.2.0,sha256:2c3bcc4a6d3723b48bcd00ccbe1440a94f39668a4d9cf3426073571a9de5cc2a,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.2.1,sha256:aab6225a92ebc4ea940348435537dc6419485c2d43df98b330a1bce9f90023e0,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.0,sha256:2ce722e0870b2d01b7554df9e84d0944936fb5c371304bee21bed3ef3356e3f0,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.1,sha256:d02c77e068743c50d5a41063101fa1ef5a67e74a05a1e2c6bb930da636853c29,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.2,sha256:f68639d726f3294e3a97da2bbe830aebea44097051d3b36ec38c1d40679437ab,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.3,sha256:031a4afb7874fd8626c16348b8a2bbe8fd5c496a1359c37de9e48793f03f333c,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.4,sha256:e755b28ca52e32f8b3e7ac44817a9991c1fee639516a38f2bba8fad25494d208,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.5,sha256:201e4932eabdf8baf40bfe391aff90391129b1fb1cf8d1dc2d489224fbcdd060,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/iaf-elastic-operator-bundle,1.3.6,sha256:1a6c12d48041e19fba74bd2be54cff3c0f9415d382c691eb60176313de2f116d,LIST,"","","",0,CASE,olm-bundle,""
docker.io,ibmcom/iaf-elastic-operator,1.0.0,sha256:32ba7ae38e47c3461aa79194fa390282b5878a937a845a30b64f76dd27c15ebc,IMAGE,linux,amd64,"",0,CASE,"",""
docker.io,ibmcom/iaf-elastic-operator,1.0.1,sha256:0c1cc37427f67d7a9291f0825fcf8665727d61d033ec9d838ee11eab8aa16039,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.1.0,sha256:c165858d62533d8838a98c5407b64d71d3b727ce8d0ee0b825753772d89c01f8,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.2.0-amd64,sha256:ecb36ad11e99330d78ed3144ddc88df0fd260e3f76c464c660af91be5e57b55e,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.2.0-s390x,sha256:724cbcac3f37f67897317e09d1126cdc6967ae42464c46b54815314b0842c7ff,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.2.0-ppc64le,sha256:ec30c800062cbd1dbb1afa081529701c4cb4f1118dd7434b6e6a606759f137e6,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.2.1-amd64,sha256:d1f42c898f0dd6f25b6a3003ab3bad5dd91471726801dc47915c95778da89c66,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.2.1-s390x,sha256:5ef4a21ef0f8410e07d64c43819247b16f70a33da902798b76c75605b5378614,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/iaf-elastic-operator,1.2.1-ppc64le,sha256:54c67cd1b96cdba3b7703fe7ebb1a66a03494461028fb3111178491bfc490551,IMAGE,linux,ppc64le,"",0,CASE,"",""
