registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/common-service-operator,3.18.0,sha256:197b7be481b2e52ac64aadcf71c0f1b490853ee96bc820e1b3cc140f87d92039,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-secretshare-operator,1.15.0,sha256:051b9b1b0e4c4c69ff059063fd001b2b28404b281a4cd7c75f367a4e7800212f,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-cs-webhook,1.14.0,sha256:6f5ed144890fdbde0fdd3ab211f73e54dec8af723913ddfb086eae2e779c8c0a,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-namespace-scope-operator,1.12.0,sha256:3558c9a4008901731b85f9a2d182ea8102289d2dfd2f28ff8d5f1c2809adc6b9,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-common-service-catalog,v3.18.0-20220513.000000-000000000,sha256:5739bd0500b1b23a2be314a668f7e2cf8bd1eb6403010068a0e33bd073287b9f,LIST,"","","",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-iam-operator-bundle,3.18.0,sha256:01dfa39be5761ba9804b5484d0709fe76e5bb3e8b5eff88b9b146d023086645d,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-common-service-operator-bundle,3.18.0,sha256:1ccb0c88d3675c8e2244a5ea3f0cfc19e22f52a86a0ab7cb015b77c199fe9fd0,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-commonui-operator-bundle,1.16.0,sha256:01bfdf084d0c4ba2a77f0ce9a1a7f30a0b1e5b34c829ec51855673efcf539306,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-licensing-operator-bundle,1.15.0,sha256:bb575d6e999749c4df13274e49c6049ce0610d87700d3f9d4f5554acdce5dca5,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-mongodb-operator-bundle,1.13.0,sha256:3caad66fcb4d8825627bc93a6dcae15f0730fe19dfcb4b53dd0bb3eef5ffdcff,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-monitoring-grafana-operator-bundle,1.22.0,sha256:74bc725b664e5a61c130d5ae7cb433ee29cf47be981db8e9a8d7a23b723d5aee,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/operand-deployment-lifecycle-manager-bundle,1.16.0,sha256:64fbe66406c7afe20f2175ece13f9f75f8f0b64f53231f11da56b894ae905ce0,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-platform-api-operator-bundle,3.20.0,sha256:d3c3cd9c41b610b9b028631bf9f811166f08128898796c514ba6d8d421895a1c,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-ingress-nginx-operator-bundle,1.15.0,sha256:b1e0593cc49f2180842d8dc6733d1ae2c9bc7a69442994aa79ba8fa8d5ad2373,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-management-ingress-operator-bundle,1.15.0,sha256:f8dbfa75906422f3e064d9545e4e44afb314adf08c1346c69e099d7c5a5bd47f,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-cert-manager-operator-bundle,3.20.0,sha256:64a6af018167eec9a9739e36bbaad59e35c18b0363314894feaa6fa7602fab68,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-auditlogging-operator-bundle,3.20.0,sha256:32844a1ffd0af1765cd814397137e08d8c7198129f2d27c4cbcf884f292412a6,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-healthcheck-operator-bundle,3.19.0,sha256:a4df2641eef155ca09379d3c595fcd4db4b4c57da5b3edf2fc20bd29b00ca6a1,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-namespace-scope-operator-bundle,1.12.0,sha256:00ecfdf08875f0d91b72e40e10a5121a12ef659422abb6e0bd408240e4fa6944,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-namespace-scope-operator-restricted-bundle,1.12.0,sha256:d20b4ef67c007bc86a493042a6f58f8bfa0855cc4908cbc724e4f4853a977a18,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-events-operator-bundle,4.0.0,sha256:1c92910d51e37ec7136943da6b55dee640dde6407e10513898d0fa20ea16539d,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-zen-operator-bundle,1.5.4,sha256:db22c8cc1b5b64b2e36ca81e4be2f4aa074f7f661f2cf3f03c48be75e87809a2,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-crossplane-operator-bundle,1.7.0,sha256:1e655e2671bae0f2d749219d9674adf0af89ccc55f8bea1ec19a905eeee432ec,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-zen-cpp-operator-bundle,1.1.2,sha256:7d4f81bfba93dd9c7655ccdd676a2ccef27ad870cabe47c1ee95ae6b3cde1231,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-crossplane-provider-ibm-cloud-operator-bundle,1.7.0,sha256:ef88fdbe702fcda573b17981c375f14f8f92eaf7d082cc5ac20fbf72bcbad5e8,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-crossplane-provider-kubernetes-operator-bundle,1.7.0,sha256:3389255f104ccb7a5474095ec5ddddb86035411de89d452485d9321954c9ec78,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-zen-operator,1.5.4,sha256:ed0c4b15a0c9260976e8d71e8e3ed25a3b48a7223aa0a7a16a60f9b2a9fcda6e,LIST,"","","",0,CASE,"",""
icr.io,cpopen/odlm,1.16.0,sha256:166006e0c04063503698c5ba3a41ff1ca1765a8ad7a30533e7da01f27d2cea9c,LIST,"","","",0,CASE,"",""
