registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
cp.icr.io,cp/cp4waiops/ai-platform-api-server,v3.3.2-20220511.0601-f0ed6dbb9,sha256:f0ed6dbb91bf420b5a5b6da6356bc91eaf48ef5fc1f017acd098d77c0655a451,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/change-risk,v3.3.2-20220511.0601-45318ea84,sha256:45318ea84608797541401471aef20967be8113dfa3e88db5cc75f4027daa952b,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/chatops-orchestrator,v3.3.2-20220511.0601-5b7d8dd00,sha256:5b7d8dd009e9581bbd05cf0b96a9f275e7002e508be782a9cfe856a455e4f85f,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/chatops-slack-integrator,v3.3.2-20220511.0601-152fb8961,sha256:152fb89611764802d5a48eeca1f97f5577c32562575de181359a8de7ac256525,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/chatops-teams-integrator,v3.3.2-20220511.0601-9c2f35631,sha256:9c2f356318b475822f17b02f85f17b3d3954cc4f13793b6bb0d89869bf558b23,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/connection-manager,v3.3.2-20220511.0601-faef27283,sha256:faef27283d89711ab3786b565bd44fb1e9918a5598ea0aa4322d3fd06e58a06d,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/coordinator,v3.3.2-20220511.0601-1881e07e2,sha256:1881e07e2d50338cfa3ea441149daae177cca203132338bc6dcd852ba9419e38,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/databroker-s3,v3.3.2-20220511.0601-15d1d87a9,sha256:15d1d87a92be1ed5786d90b2159dae85ca665a2b817c38854d6128a1bf97be19,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/elasticsearch-curator,v3.3.2-20220511.0601-af8b57bb9,sha256:af8b57bb9c047fab61f70026dcbed4ab08ab13cb9fc787fba7fcda70f2acd6ed,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cp4waiops/event-gateway-messagebus,v3.3.2-20220511.0601-a660c83d6,sha256:a660c83d6c6c2efca0250c1332b426e433a190149aa0f72b9e1105900995fc5a,IMAGE,linux,amd64,"",0,CASE,"",""
